282,ec,34e,2e0,ffad,2b,fff9
82,f0,340,2e6,ff94,34,ffee
ff6e,f0,346,2f0,ff81,3f,ffe6
fec6,102,33e,2e8,ff79,41,b
fd77,fe,33e,2e0,ff84,40,c
fb8c,102,346,2e6,ff9a,3c,10
fc8d,ec,34c,2e2,ffb0,32,7
fbf3,102,342,2e6,ffcd,25,3
fd80,fe,338,2e2,ffe5,1d,0
fe31,fe,33e,2e6,fff6,16,ffd1
fd15,e6,348,2ee,fff8,12,ffc8
fc65,fe,33c,2e0,ffe2,22,ffeb
fbe2,102,33c,2e6,ffb3,37,fff3
fcc7,fe,340,2e6,ff7d,3f,fffc
fd1a,f0,346,2e2,ff5e,42,fff8
fe29,fe,33e,2ec,ff5e,4a,ffe6
fe12,ee,346,2e6,ff84,4c,ffdb
fe3b,fe,33e,2ec,ffb0,10,fff3
fc66,ec,33e,2d8,ffba,a,fff0
fe2e,fe,33c,2e2,ffc1,11,ffe7
ff20,f0,346,2ec,ffd1,19,ffeb
fe24,f6,34c,2e2,ffd6,1c,fff2
fd38,fe,33e,2e0,ffc6,1c,fff8
fe04,fc,346,2ee,ffb2,22,fff9
ff68,fe,338,2e2,ffab,23,fff7
feea,fc,33e,2de,ffad,1f,5
77,f2,346,2de,ffb8,26,7
32,f8,34e,2e2,ffcc,26,ffee
136,fe,346,2e8,ffdc,1e,fff9
21f,f8,346,2ee,ffe3,23,9
10,e2,33e,2e6,ffd7,25,d
303,e6,33e,2e2,ffc0,24,c
221,e0,340,2e2,ffaa,2a,a
1aa,de,346,2f6,ffa9,a,ffde
156,e6,34e,2e6,ffaf,b,ffcc
fee3,e0,346,2f8,ffba,d,ffcd
fdec,fc,330,2e6,ffc0,f,ffbe
ff24,f8,32e,2e0,ffbf,10,ffb0
fcfa,e6,33c,2e8,ffad,14,ffb9
fda7,ec,34c,2ee,ffb6,1d,ffcd
fd1e,fc,34c,2e2,ffb1,2d,ffd9
fc89,f8,34e,2e0,ffa5,ffed,ffde
fd62,e2,342,2e0,ffab,fff1,ffe6
fd58,e6,342,2d2,ffac,50,ffe1
fc58,f0,34c,2e0,ffc5,53,ffed
fcdc,fc,346,2ec,ffb3,55,ffc5
fb18,e0,342,2f8,ffa4,55,ffd3
faf9,ec,330,2e8,ffc4,4c,ffe5
fbb3,f0,330,2ec,fff8,3a,ffca
fb71,f6,332,2ee,fffb,c,2d
fbc2,f0,348,2f2,37,16,16
fcb3,f0,34e,2ec,3d,21,1
fbd9,ec,348,2e0,1a,27,27
faee,e6,340,2d8,ffdc,33,3e
fcd1,e0,342,2ec,ff9f,36,4c
fc87,e8,346,2ec,ff4a,38,50
fc49,e6,348,2f0,ffa4,35,41
fd33,f0,342,2e6,ffa8,27,ffed
fd5e,ee,340,2e2,ffc8,1d,ffd3
ff00,ec,342,2e2,ffd5,16,a
ff04,ee,340,2ec,ffd7,12,12
ff85,ee,340,2e6,ffcf,11,1f
fed8,ec,346,2f2,ffc0,11,1d
fe23,f8,33e,2f6,ff89,15,10
fd2f,e2,338,2f0,ff8f,14,2
fc8f,f0,33e,2e0,ff9f,1b,ffff
fc52,e0,346,2f0,ffb1,15,ffe9
f97b,f0,346,2e6,ffe8,14,4
f7fd,f2,34e,2f0,10,1c,fff6
f80a,ee,346,2e6,1f,1b,fffd
f72a,fe,336,2d8,17,17,ffff
f7a5,ee,340,2e6,fff3,13,c
f663,e6,342,2e6,ffbe,c,10
f6c0,e0,340,2f0,ff81,d,fff9
f766,e8,33c,2e0,ff66,1a,ffff
f853,ee,33c,2ec,ff5c,1a,fffc
f77e,ee,342,2e6,ff63,19,fff9
f84a,e6,34e,2f0,ff85,1d,ffeb
f98e,ee,34c,2ec,ffad,15,ffe0
f910,e2,346,2f2,ffd0,10,ffe0
fa2d,fe,338,2f0,ffe8,12,ffea
fad4,ec,338,2ee,ffe1,17,16
fabe,ec,33e,2e6,ffd5,29,22
fcbc,ee,340,2ec,ffd1,31,a
fd53,fc,33e,2e8,ffbe,2c,16
