e78c,ff92,262,3b6,ff53,7,ffd5
e6a8,ff90,266,3b0,ff45,fffb,ffe5
e764,ff86,260,3b6,ff4d,fffb,ffea
e7a8,ff80,260,3b0,ff5e,fffe,ffee
e847,ff80,25c,3c6,ff7c,fff8,ffee
e9b0,ff86,258,3bc,ff93,ffef,a
eae6,ff96,24e,3bc,ff9d,fff1,8
eafa,ff80,24e,3c2,ff95,ffed,fff4
eb77,ff80,25c,3be,ff8c,ffe6,0
ec08,ff8c,252,3bc,ff92,ffe6,8
ec39,ff9c,24e,3cc,ffa7,ffeb,b
ec92,ff86,258,3c2,ffb9,ffe7,7
ec62,ff80,24e,3c6,ffcd,ffe7,8
ec1b,ff8e,256,3c0,ffe7,ffe6,b
eb6f,ff96,260,3c0,ffd5,ffe2,12
ec3b,ff96,252,3b8,ffc7,ffe7,3
eb60,ff86,258,3b8,ffb6,fff1,1
ec47,ff98,25e,3bc,ffac,fff7,2
ecbf,ff98,258,3be,ffb1,0,2
edd1,ff82,260,3c0,ffe6,6,3
ee31,ff98,260,3c0,fff4,b,5
f0a6,ff8e,260,3c0,ffb0,17,25
f0a2,ff7e,260,3b8,ffbc,2b,21
f0dd,ff7e,24e,3be,ffbf,2a,14
efa1,ff92,24c,3b6,ffc1,2a,17
ef3c,ff8e,25c,3b2,ffc6,29,1b
ef57,ff8e,25e,3bc,ffc8,29,1b
ee1f,ff8c,260,3c2,ffaf,2d,22
ef29,ff8e,260,3c0,ffa5,30,2a
eeef,ff9c,260,3c0,ffde,3e,10
ed47,ff70,24e,3c0,ffdb,43,a
e93a,ff86,24c,3cc,ffd9,3d,9
e71f,ff8c,24e,3be,ffd9,3d,a
e6d5,ff8e,256,3be,ffd8,3a,10
e66d,ff92,252,3c0,ffd6,3a,e
e4d1,ff90,260,3be,ffd5,3b,f
e508,ff76,25e,3c6,ffcb,41,17
e3e0,ff90,258,3bc,ffc1,45,fff3
e467,ff88,24e,3c6,ffc2,3e,ffeb
e392,ff88,256,3bc,ffc8,3e,6
e387,ff7e,258,3c6,ffd1,41,fffb
e43f,ff92,25e,3c0,ffdf,41,fff7
e367,ff96,260,3bc,ffe9,3b,fff2
e6c2,ff9e,260,3be,ffda,38,ffec
e595,ff90,25c,3bc,ffba,40,ffee
e492,ff92,25c,3c0,ff9d,43,ffd4
e59f,ff8c,25e,3b8,ff81,45,ffdb
e707,ff98,250,3b2,ff7f,47,ffe4
e815,ff8e,258,3b0,ff8c,42,ffe6
e8d5,ff9c,258,3c6,ffa2,34,ffde
e8f6,ff8e,260,3c2,ffcf,33,ffdb
e880,ff86,25c,3be,3,35,ffd9
e922,ff9e,24e,3bc,1f,3b,ffd6
e95f,ff86,256,3be,2e,40,ffb1
ea61,ff78,258,3c2,30,44,ffa6
eb7f,ff9e,252,3c0,19,49,ffdf
eb09,ff92,260,3c6,1,4d,ffcf
ebbc,ff88,260,3c6,fff1,51,ffb8
ecd1,ff8c,258,3ae,ffdc,50,ffb6
edfa,ff88,25e,3b6,ffd6,4e,ffbf
ee32,ff8c,252,3b0,ffd9,51,ffbb
ef8c,ff86,252,3b8,3f,5a,ffc0
ed4b,ff8e,252,3c0,29,5a,ffc8
ea5f,ff86,25c,3b8,18,55,ffa7
e8c5,ff98,25c,3c0,18,59,ffa2
e772,ff86,25e,3c0,22,5e,ffa2
e6af,ff80,252,3bc,2d,5a,ffae
e5e2,ff86,24c,3ae,5c,58,ffb9
e406,ff8c,25e,3bc,52,57,ffbd
e10a,ff9e,260,3bc,6,57,ffe3
dffb,ff8e,262,3b0,fffe,5c,ffe5
e10b,ff8e,260,3b8,ffff,52,ffd0
dfc1,ff86,252,3c0,fffd,4c,ffd9
dee3,ff98,256,3b8,fff2,49,ffdb
dd9d,ff8e,260,3b2,fffc,45,ffdc
dcfe,ff86,266,3b2,2f,42,ffe0
dd79,ff8e,266,3b0,18,42,ffe2
dcf7,ff80,260,3c0,ffe7,3a,fffc
dcaf,ff8e,258,3b2,ffd0,39,0
dbb6,ff8e,266,3b8,ffbe,3b,ffe8
dc1c,ff90,260,3ac,ffb9,34,fff4
dc2b,ff82,266,3b8,ffbd,2e,fffa
dc4e,ff80,266,3b0,ffb9,2b,fff5
dae3,ff6c,26c,3c0,d,27,fff9
db05,ff82,262,3a6,3,25,fffa
db1d,ff86,262,3ae,57,5f,ffa0
dc9f,ff7e,260,3b8,63,57,ffa5
dd0d,ff80,266,3b8,66,5c,ffce
dda1,ff8e,262,3b0,68,60,ffcc
de7c,ff80,262,3a8,66,66,ffc7
