fd77,70,46,fdac
18b,78,4c,fdb0
538,70,4c,fdb6
a6b,70,50,fdb0
114b,70,4c,fdae
1926,58,50,fdbe
212a,70,46,fdb0
2846,5c,4c,fdb0
2edf,6c,50,fdb6
3433,70,42,fdac
38bc,60,46,fdb8
3bcb,6e,52,fdb0
3ec9,70,4e,fdb0
3e9f,6e,52,fda2
3f92,58,50,fdc0
408c,50,50,fdb8
40da,56,50,fdb8
4081,66,52,fdb2
3fbc,66,4e,fdb0
410b,5e,4c,fdb0
4369,66,4c,fdb0
42d1,76,4e,fdb0
3ad0,72,4e,fda2
27ce,52,50,fdbc
a07,50,4e,fdb8
e727,60,4e,fdb0
c807,60,46,fdb2
b1c5,70,50,fdb0
a678,70,4e,fdb0
a3d4,6c,4e,fdb0
a823,70,52,fda6
b011,72,50,fda0
bb68,70,4e,fdb6
c77f,60,4e,fdae
d348,66,4e,fdb0
ddad,60,4e,fda2
e59d,76,4c,fdac
ea2d,62,4e,fdb2
ec0a,6e,4e,fda0
eb38,66,4e,fdac
eb3e,60,4c,fda8
ecad,60,4c,fda0
f09c,70,52,fda6
f613,5e,4e,fdb8
fcd1,5e,46,fdb6
40d,6c,3e,fda6
b95,60,4e,fdb8
1330,58,50,fdbe
1a20,60,46,fdb6
20c7,68,4e,fdae
263c,70,52,fda2
2b26,72,4e,fd9e
2f6c,58,52,fdb8
329f,70,4c,fdb0
34d8,5c,4e,fdbc
365d,70,46,fdae
3666,66,52,fdae
36e7,5e,46,fdb0
37d9,6e,4e,fda8
3810,60,50,fdb8
3844,58,4e,fdb8
389b,60,4e,fdac
39e5,70,4e,fdb0
3c81,68,4e,fdac
3dc2,70,58,fda2
39c1,6e,4e,fdb0
2adc,66,56,fdb2
f1b,6e,4e,fda6
e926,62,4c,fdb8
c49d,66,4c,fdb0
a8ee,70,4e,fda2
9931,5c,52,fdc0
9615,66,50,fdb0
9b09,4c,4e,fdb0
a50d,60,50,fda6
af27,60,4e,fdbc
ba6e,60,50,fdb8
c45a,62,4e,fdb0
cdf5,60,46,fdb8
d6ac,62,4e,fda0
dd87,62,4c,fda8
e1d3,72,52,fda6
e305,70,50,fda0
e29c,5e,4e,fdb0
e2ae,68,4e,fdb0
e4e7,6e,4e,fdb2
e956,60,4e,fda6
f008,72,4c,fda6
f820,5e,4e,fdbc
ff61,5e,4e,fdae
759,4e,50,fdb8
ed6,70,46,fda6
15b3,70,50,fda6
1c87,60,4e,fda2
2237,70,4c,fda6
2687,66,52,fdb0
29fc,6e,50,fda0
2d71,66,4e,fdb2
2f14,68,4e,fdb0
31e2,62,4e,fdac
33f9,70,50,fda0
3574,70,3e,fda6
35b8,66,4e,fdb2
3481,6c,4e,fda0
35a0,70,46,fdb2
3815,6e,4e,fdb0
3b49,70,3e,fdac
3e92,70,4e,fdb0
410d,6c,58,fdb2
433e,5e,46,fdb8
41fa,70,3c,fdae
3843,70,4e,fdae
2291,58,58,fdb8
bb,60,42,fdb2
da3e,6e,4e,fdb0
b883,62,48,fda0
a1c8,6e,4e,fda2
9786,58,56,fdb8
971d,70,4e,fda2
9d94,70,50,fda6
a669,72,58,fda0
b0e9,5e,50,fdb2
bb44,70,46,fdae
c780,62,4e,fdb0
d34d,66,4e,fdae
dc3f,66,4e,fdb0
e223,60,4e,fdbc
e4e1,60,50,fdb0
e529,66,50,fdb0
e550,60,50,fdbe
e5f3,5e,46,fdae
e9ad,70,3e,fdb0
f07e,70,4e,fdb0
f8e6,60,52,fdb0
bc,62,4e,fdb0
7d9,6e,4e,fdb0
dd8,6e,4e,fdb0
155c,70,50,fda2
1cc3,70,50,fda2
23d2,66,52,fdb0
2875,70,48,fdae
2c1f,60,4c,fdb0
2e40,6c,52,fdb0
3030,6e,40,fdac
3175,70,4c,fdb0
31c4,6e,4e,fdb0
32dd,70,3e,fda6
33ff,70,3e,fdac
350d,70,58,fda0
35d9,70,52,fda0
35f1,5e,4e,fdb8
36a1,70,42,fdae
38a3,60,4e,fdb0
38e5,60,4e,fda0
3256,66,4c,fda6
20a2,70,52,fda2
354,72,4e,fdb0
dfb7,70,40,fdb0
bf36,70,50,fdb2
a8fb,5e,4e,fdb6
9cc0,60,4c,fdbc
9c45,66,50,fdb0
a341,60,4c,fda2
aeb7,70,4e,fdb0
bb42,60,52,fdb8
c7a7,52,4e,fdc0
d591,70,4e,fdae
e1ed,66,4c,fdac
ec06,70,46,fdae
f25a,5e,4c,fda2
f57c,60,4e,fda0
f600,5e,4e,fdae
f62c,6c,46,fda6
f6dc,4e,4e,fdb0
f870,62,48,fdac
fc79,66,4e,fdae
218,76,4e,fdb0
91c,5e,52,fdb2
10f5,70,46,fdb0
1928,62,4e,fdae
2150,72,48,fda6
2855,72,46,fda6
2d8f,5e,50,fdb0
3184,70,4e,fdb0
349e,6e,3e,fda6
37bf,60,46,fd9e
395a,60,50,fdb8
3a8a,70,4c,fdb0
3a43,58,4e,fdbc
391c,70,42,fdb0
37a1,66,50,fdb0
362d,62,48,fda6
3503,4e,4e,fdb0
3541,60,46,fda2
35e7,62,4e,fda6
37e6,60,50,fdb8
387d,66,4e,fdb0
3876,70,3e,fdb0
3367,66,4e,fdb0
244e,60,4c,fdae
893,70,50,fda2
e34c,58,4e,fdb8
be3e,60,4c,fdb0
a0ef,6c,4e,fdb0
9041,70,4e,fdb0
8b2a,62,50,fdb6
8ebc,70,48,fdb0
9834,62,46,fdac
a4bc,62,4e,fdae
b155,60,48,fdac
be3b,5e,48,fdb0
c96d,72,4e,fda0
d343,70,50,fdb2
dab2,4e,52,fdb8
dfa4,66,4e,fdb0
e187,72,52,fd9e
e145,5c,50,fdbe
e106,70,4c,fdae
e1c2,66,4c,fdae
e4e8,70,50,fda0
ea14,5c,4e,fdb6
f085,70,4e,fda2
f62b,5c,52,fdbe
fba4,72,46,fdb2
1da,4e,4e,fdb6
66a,60,4c,fda6
b3a,70,58,fda6
1075,60,4e,fdb6
1396,62,4e,fdb6
15ef,66,4e,fdb0
168a,70,50,fdb0
16d3,60,4c,fda6
1884,66,4e,fdac
1adb,76,52,fda2
1df0,70,4e,fdae
1f8e,58,50,fdbc
2113,70,4c,fdac
2149,5c,4e,fdb0
2226,70,4e,fdb0
2414,70,4e,fdb0
26ae,60,4c,fda6
2a55,6e,3e,fdae
2dbd,5e,52,fdbc
2de6,66,50,fdb0
2528,50,50,fdbc
107d,6e,4e,fda6
f25c,60,52,fdb8
cfb8,70,46,fdac
b1ea,66,4e,fdac
9dbd,60,48,fd9e
9501,6e,4e,fda6
